Zone,District,Urban_Rural,Total_Population,Male,Female,Literacy_Rate_Total,Literacy_Rate_Male,Literacy_Rate_Female,Literacy_Rate_Youth,Households_Total,Households_with_Electricity,Households_with_Radio,Households_with_TV,Households_with_Telephone,Electricity_Access_Rate,Radio_Access_Rate,TV_Access_Rate,Telephone_Access_Rate
Janakpur,Dhanusha,Urban,86000,43000,43000,51,56,46,57,105000,38000,30000,6000,3500,36.19047619047619,28.57142857142857,5.714285714285714,3.3333333333333335
Janakpur,Dhanusha,Rural,146000,73000,73000,51,56,46,57,105000,38000,30000,6000,3500,36.19047619047619,28.57142857142857,5.714285714285714,3.3333333333333335
Janakpur,Mahottari,Urban,61000,30500,30500,45,50,40,53,95000,24000,18000,3000,1500,25.263157894736842,18.947368421052634,3.1578947368421053,1.5789473684210527
Janakpur,Mahottari,Rural,131000,65500,65500,45,50,40,53,95000,24000,18000,3000,1500,25.263157894736842,18.947368421052634,3.1578947368421053,1.5789473684210527
Janakpur,Sarlahi,Urban,66000,33000,33000,47,52,42,55,100000,26000,20000,4000,2000,26.0,20.0,4.0,2.0
Janakpur,Sarlahi,Rural,136000,68000,68000,47,52,42,55,100000,26000,20000,4000,2000,26.0,20.0,4.0,2.0
Narayani,Bara,Urban,92000,46000,46000,50,55,45,58,105000,36000,28000,7000,3500,34.285714285714285,26.666666666666668,6.666666666666667,3.3333333333333335
Narayani,Bara,Rural,158000,79000,79000,50,55,45,58,105000,36000,28000,7000,3500,34.285714285714285,26.666666666666668,6.666666666666667,3.3333333333333335
Narayani,Parsa,Urban,96000,48000,48000,52,58,46,60,100000,38000,30000,8000,4000,38.0,30.0,8.0,4.0
Narayani,Parsa,Rural,154000,77000,77000,52,58,46,60,100000,38000,30000,8000,4000,38.0,30.0,8.0,4.0
Narayani,Rautahat,Urban,71000,35500,35500,48,53,43,56,95000,28000,22000,5000,2500,29.47368421052631,23.157894736842106,5.263157894736842,2.631578947368421
Narayani,Rautahat,Rural,142000,71000,71000,48,53,43,56,95000,28000,22000,5000,2500,29.47368421052631,23.157894736842106,5.263157894736842,2.631578947368421
Sagarmatha,Siraha,Urban,51000,25500,25500,44,49,39,52,85000,20000,15000,2000,1000,23.52941176470588,17.647058823529413,2.3529411764705883,1.1764705882352942
Sagarmatha,Siraha,Rural,121000,60500,60500,44,49,39,52,85000,20000,15000,2000,1000,23.52941176470588,17.647058823529413,2.3529411764705883,1.1764705882352942
Sagarmatha,Saptari,Urban,56000,28000,28000,46,51,41,54,90000,22000,17000,2500,1200,24.444444444444443,18.88888888888889,2.7777777777777777,1.3333333333333335
Sagarmatha,Saptari,Rural,126000,63000,63000,46,51,41,54,90000,22000,17000,2500,1200,24.444444444444443,18.88888888888889,2.7777777777777777,1.3333333333333335
