Zone,District,Urban_Rural,Total_Population,Male,Female,Literacy_Rate_Total,Literacy_Rate_Male,Literacy_Rate_Female,Literacy_Rate_Youth,Households_Total,Households_with_Electricity,Households_with_Radio,Households_with_TV,Households_with_Telephone,Electricity_Access_Rate,Radio_Access_Rate,TV_Access_Rate,Telephone_Access_Rate,Internet_Access_Rate
Janakpur,Dhanusha,Urban,154000,77000,77000,81,88,74,100,0,0,0,18000,13500,100.0,53.246753246753244,100.0,73.93939393939394,37.5
Janakpur,Dhanusha,Rural,374000,187000,187000,67,74,60,97,0,14000,16000,14000,10500,72.14285714285712,67.26190476190474,35.95238095238094,25.833333333333336,10.5
Janakpur,Mahottari,Urban,119000,59500,59500,83,90,76,100,0,6000,0,16000,10500,100.0,58.830409356725134,100.0,65.0877192982456,33.0
Janakpur,Mahottari,Rural,289000,144500,144500,69,76,62,95,0,20000,22000,13000,8500,79.49874686716794,76.29072681704258,34.93734335839599,22.230576441102755,9.0
Janakpur,Sarlahi,Urban,134000,67000,67000,83,90,76,100,0,6000,0,18000,12000,100.0,60.0,100.0,68.0,30.0
Janakpur,Sarlahi,Rural,344000,172000,172000,69,76,62,97,0,24000,28000,15000,11000,78.16666666666667,80.0,35.583333333333336,25.083333333333332,7.5
Narayani,Bara,Urban,128000,64000,64000,84,91,77,100,0,0,0,17000,14500,100.0,54.28571428571429,100.0,82.38095238095235,42.0
Narayani,Bara,Rural,282000,141000,141000,70,77,63,98,0,12000,14000,11000,10500,74.80519480519479,68.78787878787878,34.242424242424235,28.484848484848484,12.0
Narayani,Parsa,Urban,164000,82000,82000,84,90,78,100,0,6000,0,20000,17000,100.0,43.07692307692308,99.6923076923077,76.76923076923077,45.0
Narayani,Parsa,Rural,266000,133000,133000,70,76,64,98,0,8000,10000,9000,8000,71.52380952380952,65.23809523809523,32.47619047619048,24.57142857142857,10.5
Narayani,Rautahat,Urban,119000,59500,59500,80,87,73,100,0,2000,0,14000,9500,100.0,50.52631578947369,94.73684210526315,60.526315789473685,27.0
Narayani,Rautahat,Rural,238000,119000,119000,66,73,59,94,0,12000,14000,10000,7500,75.78947368421052,71.57894736842104,34.21052631578948,23.684210526315788,9.0
Sagarmatha,Siraha,Urban,109000,54500,54500,82,89,75,100,0,5000,0,15000,9000,100.0,57.35294117647059,100.0,61.32352941176471,22.5
Sagarmatha,Siraha,Rural,279000,139500,139500,66,73,59,94,0,18000,21000,12000,7000,71.47058823529412,72.35294117647058,32.64705882352941,18.823529411764707,6.0
Sagarmatha,Saptari,Urban,134000,67000,67000,82,89,75,100,0,8000,0,16500,11800,100.0,54.79532163742691,97.22222222222223,67.08771929824562,30.0
Sagarmatha,Saptari,Rural,334000,167000,167000,66,73,59,94,2000,20000,25000,13500,8800,66.85990338164251,72.41545893719807,32.00483091787439,20.405797101449274,7.5
