Zone,District,Urban_Rural,Total_Population,Male,Female,Literacy_Rate_Total,Literacy_Rate_Male,Literacy_Rate_Female,Literacy_Rate_Youth,Households_Total,Households_with_Electricity,Households_with_Radio,Households_with_TV,Households_with_Telephone,Electricity_Access_Rate,Radio_Access_Rate,TV_Access_Rate,Telephone_Access_Rate,Year,Internet_Access_Rate
Narayani,Bara,Rural,158000,79000,79000,50,55,45,58,105000,36000,28000,7000,3500,34.285714285714285,26.666666666666668,6.666666666666667,3.333333333333333,2001,0.0
Narayani,Bara,Rural,220000,110000,110000,60,66,54,78,44000,24000,21000,9000,7000,54.54545454545454,47.72727272727273,20.454545454545453,15.909090909090908,2011,6.0
Narayani,Bara,Rural,282000,141000,141000,70,77,63,98,0,12000,14000,11000,10500,74.80519480519479,68.78787878787878,34.242424242424235,28.484848484848484,2021,12.0
Narayani,Bara,Urban,92000,46000,46000,50,55,45,58,105000,36000,28000,7000,3500,34.285714285714285,26.666666666666668,6.666666666666667,3.333333333333333,2001,0.0
Narayani,Bara,Urban,110000,55000,55000,67,73,61,83,21000,17500,8500,12000,9000,83.33333333333334,40.47619047619048,57.142857142857146,42.85714285714285,2011,25.0
Narayani,Bara,Urban,128000,64000,64000,84,91,77,100,0,0,0,17000,14500,100.0,54.28571428571429,100.0,82.38095238095235,2021,42.0
Janakpur,Dhanusha,Rural,146000,73000,73000,51,56,46,57,105000,38000,30000,6000,3500,36.19047619047619,28.57142857142857,5.714285714285714,3.333333333333333,2001,0.0
Janakpur,Dhanusha,Rural,260000,130000,130000,59,65,53,77,48000,26000,23000,10000,7000,54.16666666666666,47.91666666666666,20.83333333333333,14.583333333333334,2011,7.0
Janakpur,Dhanusha,Rural,374000,187000,187000,67,74,60,97,0,14000,16000,14000,10500,72.14285714285712,67.26190476190474,35.95238095238094,25.833333333333336,2021,10.5
Janakpur,Dhanusha,Urban,86000,43000,43000,51,56,46,57,105000,38000,30000,6000,3500,36.19047619047619,28.57142857142857,5.714285714285714,3.333333333333333,2001,0.0
Janakpur,Dhanusha,Urban,120000,60000,60000,66,72,60,82,22000,18000,9000,12000,8500,81.81818181818181,40.90909090909091,54.54545454545454,38.63636363636363,2011,25.0
Janakpur,Dhanusha,Urban,154000,77000,77000,81,88,74,100,0,0,0,18000,13500,100.0,53.24675324675325,100.0,73.93939393939394,2021,37.5
