Zone,District,Urban_Rural,Total_Population,Male,Female
Janakpur,Dhanusha,Urban,86000,43000,43000
Janakpur,Dhanusha,Rural,146000,73000,73000
Janakpur,Mahottari,Urban,61000,30500,30500
Janakpur,Mahottari,Rural,131000,65500,65500
Janakpur,Sarlahi,Urban,66000,33000,33000
Janakpur,Sarlahi,Rural,136000,68000,68000
Narayani,Bara,Urban,92000,46000,46000
Narayani,Bara,Rural,158000,79000,79000
Narayani,Parsa,Urban,96000,48000,48000
Narayani,Parsa,Rural,154000,77000,77000
Narayani,Rautahat,Urban,71000,35500,35500
Narayani,Rautahat,Rural,142000,71000,71000
Sagarmatha,Siraha,Urban,51000,25500,25500
Sagarmatha,Siraha,Rural,121000,60500,60500
Sagarmatha,Saptari,Urban,56000,28000,28000
Sagarmatha,Saptari,Rural,126000,63000,63000
