Zone,District,Urban_Rural,Recommendations
Janakpur,Dhanusha,Urban,Expand Internet Infrastructure
Janakpur,Dhanusha,Rural,"Improve Literacy Programs, Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Janakpur,Mahottari,Urban,"Increase Radio Access, Expand Internet Infrastructure"
Janakpur,Mahottari,Rural,"Improve Literacy Programs, Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Janakpur,Sarlahi,Urban,Expand Internet Infrastructure
Janakpur,Sarlahi,Rural,"Improve Literacy Programs, Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Narayani,Bara,Urban,Expand Internet Infrastructure
Narayani,Bara,Rural,"Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Narayani,Parsa,Urban,Increase Radio Access
Narayani,Parsa,Rural,"Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Narayani,Rautahat,Urban,"Increase Radio Access, Expand Internet Infrastructure"
Narayani,Rautahat,Rural,"Improve Literacy Programs, Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Sagarmatha,Siraha,Urban,"Increase Radio Access, Expand Internet Infrastructure"
Sagarmatha,Siraha,Rural,"Improve Literacy Programs, Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
Sagarmatha,Saptari,Urban,"Increase Radio Access, Expand Internet Infrastructure"
Sagarmatha,Saptari,Rural,"Improve Literacy Programs, Expand Electricity Access, Provide TV/Media Access, Enhance Telephone Access, Expand Internet Infrastructure"
